,Name,Followers,Page_Likes,Views,Video_Likes
0,ThesaurusPG,3647530.0,313342.0,942300,36000
1,,,,1400000,51000
2,,,,1100000,43000
3,,,,947600,34000
4,,,,954600,34000
5,,,,1200000,44000
6,,,,343500,11000
7,,,,405100,10000
8,,,,1100000,37000
