,Name,Followers,Page_Likes,Views,Video_Likes
404,,,,218600,4000
405,,,,194700,38000
406,,,,72400,28000
407,,,,303900,51000
408,,,,122000,28000
409,,,,82900,27000
410,,,,268100,47000
411,,,,278600,39000
412,,,,86000,31000
413,,,,157700,31000
414,,,,271800,39000
415,,,,118200,25000
416,,,,80800,21000
417,,,,183700,26000
418,,,,65600,2000
419,,,,207000,27000
420,,,,101400,21000
421,,,,55200,19000
422,,,,331500,42000
423,,,,358600,44000
424,,,,53000,18000
425,,,,52400,18000
426,,,,742300,54000
427,,,,50200,14000
428,,,,43600,12000
429,,,,37100,12000
430,,,,50800,13000
431,,,,136800,16000
432,,,,55700,15000
433,,,,38200,999
434,,,,80600,17000
435,,,,80500,19000
436,,,,69300,15000
437,,,,89800,24000
438,,,,196300,26000
439,,,,96800,18000
440,,,,100300,17000
441,,,,93400,21000
442,,,,319900,37000
443,,,,1400000,11000
444,,,,262600,34000
445,,,,235000,33000
446,,,,265500,33000
447,,,,284900,38000
448,,,,313400,43000
449,,,,320700,43000
450,,,,206300,28000
451,,,,292900,39000
452,,,,250400,35000
453,,,,201900,27000
454,,,,269100,34000
455,,,,174200,25000
456,,,,36200,832
457,,,,243100,31000
458,,,,223300,3000
459,,,,265800,31000
460,,,,320900,36000
461,,,,32900,932
462,,,,252700,3000
463,,,,286900,34000
464,,,,186100,27000
465,,,,158900,27000
466,,,,334100,44000
467,,,,252400,37000
468,,,,269300,32000
469,,,,234200,3000
470,,,,181300,3000
471,,,,109000,2000
472,,,,225000,29000
473,,,,347700,42000
474,,,,270200,33000
475,,,,15100,401
476,,,,209200,29000
477,,,,525600,57000
478,,,,248000,37000
479,,,,611300,46000
480,,,,134200,22000
481,,,,414500,42000
482,,,,560200,61000
483,,,,342300,4000
484,,,,579200,6000
485,,,,120800,16000
486,,,,183900,25000
487,,,,262300,34000
488,,,,9200,224
489,,,,407500,45000
490,,,,42100,929
491,,,,33700,890
492,,,,6900,221
493,,,,70800,18000
494,,,,99900,21000
495,,,,633100,448
496,,,,28200,733
497,,,,31300,982
498,,,,23000,693
499,,,,12000,161
500,,,,41100,971
501,,,,1300,98
502,,,,59300,14000
503,,,,37600,935
504,,,,79500,17000
505,,,,13100,451
506,,,,92400,16000
507,,,,12600,190
508,,,,93600,18000
509,,,,12400,466
510,,,,64100,17000
511,,,,8600,346
512,,,,95100,17000
513,,,,91700,19000
514,,,,117200,21000
515,,,,77600,13000
516,,,,318600,35000
517,,,,12400,370
518,,,,309800,37000
519,,,,42700,659
520,,,,56600,1000
521,,,,69400,881
522,,,,107600,14000
523,,,,230900,24000
524,,,,417000,38000
525,,,,119400,13000
526,,,,128400,14000
527,,,,119800,15000
528,,,,79000,11000
529,,,,109000,15000
530,,,,58200,959
531,,,,24900,762
532,,,,38600,737
533,,,,22900,616
534,,,,27000,676
535,,,,38500,1000
536,,,,58800,1000
537,,,,69200,11000
538,,,,43400,1000
539,,,,52100,928
540,,,,26600,840
541,,,,64700,11000
542,,,,72300,11000
543,,,,33900,807
544,,,,28600,808
545,,,,45400,909
546,,,,53200,11000
547,,,,45100,984
548,,,,52700,1000
549,,,,59000,1000
550,,,,45700,927
551,,,,26600,780
552,,,,38600,829
553,,,,49900,1000
554,,,,36400,811
555,,,,26900,746
556,,,,44300,841
557,,,,61800,1000
558,,,,150200,18000
559,,,,92800,14000
560,,,,169300,19000
561,,,,36200,719
562,,,,34300,745
563,,,,19200,445
564,,,,18300,574
565,,,,32900,731
566,,,,24200,599
567,,,,25800,699
568,,,,31600,670
569,,,,29500,588
570,,,,11400,297
571,,,,3800,176
572,,,,31700,631
573,,,,30600,655
574,,,,33700,622
575,,,,22600,443
576,,,,15000,512
577,,,,17700,495
578,,,,25200,612
579,,,,21500,638
580,,,,7600,366
581,,,,23300,645
582,,,,38800,708
583,,,,26700,650
584,,,,27800,621
585,,,,23700,690
586,,,,33000,712
587,,,,27900,658
588,,,,43900,889
589,,,,14500,609
590,,,,24200,682
591,,,,31700,734
592,,,,30800,724
593,,,,26700,539
594,,,,38300,767
595,,,,21300,642
596,,,,39700,875
597,,,,24400,608
598,,,,26600,763
599,,,,22400,677
600,,,,36800,786
601,,,,11300,474
602,,,,15700,537
603,,,,7100,316
604,,,,5400,280
605,,,,27600,808
606,,,,6500,324
607,,,,47300,722
608,,,,41100,748
609,,,,13200,330
610,,,,18800,603
611,,,,6700,283
612,,,,26900,544
613,,,,25300,505
614,,,,8500,409
615,,,,79800,1000
616,,,,7900,363
617,,,,102200,14000
618,,,,28900,699
619,,,,26600,494
620,,,,4600,222
621,,,,64300,11000
622,,,,6800,259
623,,,,67700,980
624,,,,4800,252
625,,,,32700,680
626,,,,16800,507
627,,,,74300,1000
628,,,,7900,287
629,,,,183800,21000
630,,,,10800,368
631,,,,66300,1000
632,,,,118200,15000
633,,,,7400,262
634,,,,174600,22000
635,,,,2300,112
636,,,,10800,340
637,,,,7800,310
638,,,,38200,605
639,,,,25800,524
640,,,,16000,409
641,,,,180100,16000
642,,,,7200,207
643,,,,18500,452
644,,,,148400,15000
645,,,,23000,395
646,,,,123400,13000
647,,,,82900,978
648,,,,55200,712
649,,,,3600,125
650,,,,4800,253
651,,,,45200,491
652,,,,145300,14000
653,,,,53000,535
654,,,,149100,15000
655,,,,62500,598
656,,,,65000,792
657,,,,39400,739
658,,,,64300,941
659,,,,83100,902
660,,,,84100,1000
661,,,,7600,218
662,,,,16400,230
663,,,,15000,254
664,,,,11500,277
665,,,,58400,763
666,,,,83700,985
667,,,,25800,357
668,,,,28900,487
669,,,,9700,317
670,,,,39900,509
671,,,,226100,18000
672,,,,120800,13000
673,,,,44300,391
674,,,,38700,299
675,,,,54100,404
676,,,,55900,367
677,,,,28400,242
678,,,,74000,740
679,,,,38000,217
680,,,,37900,229
681,,,,27700,160
682,,,,15200,117
683,,,,5900,61
684,,,,6200,103
685,,,,21900,158
686,,,,25800,211
687,,,,26700,208
688,,,,13500,91
689,,,,45400,279
690,,,,24000,127
691,,,,22300,174
692,,,,31900,210
693,,,,36600,277
694,,,,35900,239
695,,,,53000,175
696,,,,44400,145
697,,,,27200,73
698,,,,25700,79
699,,,,29100,87
700,,,,17200,50
701,,,,24500,96
702,,,,18000,85
703,,,,24500,53
704,,,,37900,114
705,,,,24000,62
706,,,,29200,82
707,,,,14700,83
708,,,,16000,33
709,,,,12000,41
710,,,,12200,45
711,,,,12600,48
712,,,,10100,41
713,,,,15200,60
714,,,,509,10
715,,,,92500,916
716,,,,48500,309
717,,,,53800,435
718,,,,76,4
719,,,,79,3
720,,,,476,1
721,,,,476,3
